@relation facial_landmarks_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute HU_21 numeric
@attribute HU_22 numeric
@attribute HU_23 numeric
@attribute HU_24 numeric
@attribute HU_25 numeric
@attribute HU_26 numeric
@attribute HU_27 numeric
@attribute HU_28 numeric
@attribute HU_29 numeric
@attribute HU_30 numeric
@attribute HU_31 numeric
@attribute HU_32 numeric
@attribute HU_33 numeric
@attribute HU_34 numeric
@attribute HU_35 numeric
@attribute HU_36 numeric
@attribute HU_37 numeric
@attribute HU_38 numeric
@attribute HU_39 numeric
@attribute HU_40 numeric
@attribute HU_41 numeric
@attribute HU_42 numeric
@attribute HU_43 numeric
@attribute HU_44 numeric
@attribute HU_45 numeric
@attribute HU_46 numeric
@attribute HU_47 numeric
@attribute HU_48 numeric
@attribute HU_49 numeric
@attribute HU_50 numeric
@attribute HU_51 numeric
@attribute HU_52 numeric
@attribute HU_53 numeric
@attribute HU_54 numeric
@attribute HU_55 numeric
@attribute HU_56 numeric
@attribute HU_57 numeric
@attribute HU_58 numeric
@attribute HU_59 numeric
@attribute HU_60 numeric
@attribute HU_61 numeric
@attribute HU_62 numeric
@attribute HU_63 numeric
@attribute HU_64 numeric
@attribute HU_65 numeric
@attribute HU_66 numeric
@attribute HU_67 numeric
@attribute HU_68 numeric
@attribute Class {Deceptive,Truthful}

@data
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7616,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-1.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-1.0000,0.0000,-0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.7616,1.0000,0.0000,-0.7616,1.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.7616,-0.0000,0.0000,0.0000,-1.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-1.0000,-1.0000,Deceptive
