@relation glottal_flow_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute Class {Deceptive,Truthful}

@data
0.5159,0.1512,0.6114,-0.1540,0.7766,-0.7593,0.5713,0.6667,0.6168,Deceptive
-0.6811,0.9069,0.9182,0.8819,0.8015,-0.1925,0.8545,0.9540,-0.2265,Deceptive
0.3236,-0.0120,0.3985,-0.6188,0.7004,0.2254,0.8073,0.5537,0.6940,Deceptive
0.1339,0.2128,0.6288,-0.4347,0.6616,0.3617,0.8646,0.6785,0.4815,Deceptive
-0.9404,0.9203,0.8848,0.8781,0.7704,-0.5784,0.7186,0.8635,0.1091,Deceptive
0.8442,0.8173,0.2107,0.8170,0.7455,-0.7744,0.5651,0.0824,0.8116,Deceptive
0.8595,0.9722,0.9174,0.7578,0.9255,-0.8743,0.8055,0.9151,0.9374,Deceptive
0.8223,0.9714,0.9114,0.0822,0.9397,-0.7270,0.8910,0.9516,0.8985,Deceptive
0.9032,0.9807,0.9247,0.8229,0.9396,-0.8065,0.8848,0.9268,0.9526,Deceptive
-0.2952,0.6195,0.8564,-0.2337,0.7702,0.3610,0.9144,0.8864,0.3587,Deceptive
0.5218,0.9589,0.9028,0.1616,0.9239,-0.7329,0.8320,0.9496,0.8619,Deceptive
0.7650,0.2020,0.4164,-0.5289,0.7950,-0.5280,0.7223,0.6391,0.7153,Deceptive
0.5033,0.8802,0.8853,0.8654,0.8393,-0.4468,0.9398,0.9018,0.5990,Deceptive
0.7142,0.9419,0.9136,0.4112,0.9125,-0.8162,0.8033,0.9086,0.8353,Deceptive
0.6981,0.9272,0.7929,0.8231,0.6516,-0.5188,0.8137,0.3835,0.5931,Deceptive
-0.9191,0.9217,0.8948,0.8252,0.7216,-0.1396,0.7453,0.8559,-0.8728,Deceptive
0.7449,0.7936,0.8118,-0.4086,0.9086,-0.6381,0.7392,0.8047,0.8401,Deceptive
0.7607,0.9698,0.9077,0.8359,0.9212,-0.8456,0.7873,0.8690,0.8787,Deceptive
0.8424,0.9614,0.8906,0.7491,0.9050,-0.8137,0.7744,0.9238,0.9100,Deceptive
0.6820,0.4585,0.7792,-0.3844,0.8657,-0.6559,0.7340,0.6849,0.8416,Deceptive
0.0630,-0.0544,0.3151,-0.4587,0.5436,0.5618,0.8648,0.5919,0.4882,Deceptive
-0.5914,-0.7055,-0.7601,0.8958,0.1119,0.9202,0.4736,0.2168,-0.5416,Truthful
-0.4485,-0.7611,-0.9030,0.8033,0.2409,0.6998,0.6822,0.1534,-0.1037,Truthful
0.1212,-0.7634,-0.8136,0.8473,0.0023,0.9701,-0.5922,0.0898,0.1854,Truthful
-0.8125,-0.6212,-0.0469,0.8069,0.1727,0.5142,0.4102,0.3355,-0.7753,Truthful
-0.0756,-0.3990,-0.6545,0.8770,-0.2009,0.8169,-0.8401,-0.1900,0.0453,Truthful
-0.7855,0.4026,0.1450,0.7602,-0.4495,-0.2097,-0.3853,-0.8142,-0.7941,Truthful
-0.8707,0.5972,0.2799,0.7780,-0.3479,-0.3452,-0.2981,-0.6539,-0.7172,Truthful
0.1423,-0.7508,-0.8353,0.8356,-0.0636,0.9691,-0.8376,0.0492,0.1191,Truthful
-0.3229,-0.6381,-0.7455,0.8737,-0.1791,0.8456,-0.7624,0.1504,-0.2582,Truthful
0.1232,-0.7291,-0.7492,0.8078,-0.0580,0.9695,-0.8917,0.1267,0.1647,Truthful
-0.5515,-0.7480,-0.8747,0.9020,-0.0088,0.8979,-0.4862,0.1042,-0.2225,Truthful
0.0334,-0.6997,-0.5544,0.4380,-0.0813,0.9243,-0.8480,0.1566,0.1708,Truthful
-0.7761,-0.6038,-0.7900,0.8974,0.1650,0.7272,0.6158,0.2804,-0.5087,Truthful
0.1372,-0.7127,-0.8125,0.7702,-0.0864,0.9668,-0.8794,0.0752,0.1296,Truthful
-0.6662,-0.7741,-0.7326,0.8996,0.2380,0.8988,0.7148,0.2890,-0.2418,Truthful
-0.8055,0.3706,-0.0514,0.8038,-0.3155,0.1045,-0.4173,-0.7531,-0.5249,Truthful
-0.4776,-0.3064,-0.4115,0.8669,-0.2068,0.6923,-0.7057,-0.3278,-0.2822,Truthful
-0.7066,0.5105,0.2224,0.7723,-0.4062,-0.1011,-0.3135,-0.8588,-0.6774,Truthful
-0.2729,-0.7597,-0.8164,0.8221,0.3783,0.7573,0.8154,0.2130,-0.0198,Truthful
-0.7812,-0.5558,-0.6429,0.8840,-0.0599,0.2990,-0.2196,0.2438,-0.3694,Truthful
0.0003,-0.6332,-0.4268,0.0676,-0.1304,0.9257,-0.8554,0.3468,0.1716,Truthful
