@relation head_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute Class {Deceptive,Truthful}

@data
-0.0866,-0.0000,1.0000,0.7560,-0.0000,-0.0000,-0.0000,0.7616,0.7616,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.7784,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7575,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7628,0.7251,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0000,-0.0000,-0.0038,-0.0000,0.0000,0.0000,Deceptive
-0.7589,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7617,0.1826,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.9918,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7571,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7649,0.7628,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7605,-0.0000,1.0000,-0.7616,0.0000,-0.0000,-0.0000,0.7616,0.0003,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0020,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.5448,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.8543,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.9784,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,Deceptive
-0.7551,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7626,0.7620,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7610,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.9798,0.7617,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7285,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7616,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
-0.7598,-0.0000,1.0000,-0.7616,-0.0000,-0.0000,-0.0000,0.7616,0.7441,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,Deceptive
