@relation hmpdd_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute HU_21 numeric
@attribute HU_22 numeric
@attribute HU_23 numeric
@attribute HU_24 numeric
@attribute HU_25 numeric
@attribute HU_26 numeric
@attribute HU_27 numeric
@attribute HU_28 numeric
@attribute HU_29 numeric
@attribute HU_30 numeric
@attribute HU_31 numeric
@attribute HU_32 numeric
@attribute HU_33 numeric
@attribute HU_34 numeric
@attribute HU_35 numeric
@attribute HU_36 numeric
@attribute HU_37 numeric
@attribute HU_38 numeric
@attribute HU_39 numeric
@attribute HU_40 numeric
@attribute HU_41 numeric
@attribute HU_42 numeric
@attribute HU_43 numeric
@attribute HU_44 numeric
@attribute HU_45 numeric
@attribute HU_46 numeric
@attribute HU_47 numeric
@attribute HU_48 numeric
@attribute HU_49 numeric
@attribute HU_50 numeric
@attribute Class {Deceptive,Truthful}

@data
-0.1109,-0.0319,0.0605,0.1954,0.1581,0.0040,-0.0167,-0.1685,-0.3009,-0.2243,0.0255,0.3817,0.0517,-0.2386,-0.2410,0.3494,0.0338,-0.1358,0.1154,0.3019,0.3824,-0.1384,0.4830,0.2524,-0.0472,-0.2018,-0.1723,-0.5553,0.1318,0.1656,-0.2493,-0.0104,0.2716,-0.0153,0.2606,-0.1415,-0.1797,-0.2179,0.1348,0.0311,-0.0857,0.3772,-0.1332,0.1635,0.2162,0.0741,0.4508,-0.1056,-0.1063,-0.3526,Deceptive
-0.0509,-0.0289,-0.0430,0.1347,-0.0780,0.0145,0.1835,-0.2526,0.0153,-0.3549,0.0129,0.0473,0.0575,-0.1257,-0.2561,0.0945,0.1048,-0.0088,0.0701,0.3056,0.2979,-0.1565,0.1313,0.1888,-0.1268,-0.1764,-0.1574,-0.1764,0.2401,0.1026,-0.1396,-0.0270,0.1257,0.0434,0.1393,-0.0334,-0.1064,-0.0299,0.0151,-0.1729,0.0433,0.3071,0.0922,0.0282,0.0148,-0.0650,0.3366,0.0326,-0.0014,-0.1476,Deceptive
0.1268,-0.0110,-0.2137,0.1165,-0.3753,0.0999,0.4643,-0.3502,0.3021,-0.5182,0.0019,-0.2690,0.0438,0.0132,-0.2178,-0.1722,0.1780,0.0984,-0.0561,0.2656,0.1240,-0.1403,-0.3435,0.1053,-0.2521,-0.1294,-0.1200,0.3298,0.4308,0.0511,-0.0089,-0.0530,-0.1599,0.2032,0.0338,0.1218,-0.0476,0.2814,-0.1466,-0.4165,0.2576,0.1504,0.4472,-0.0998,-0.2683,-0.2046,0.0429,0.2895,0.1620,0.1801,Deceptive
-0.1079,-0.0291,0.0273,0.1438,0.0724,0.0061,0.0610,-0.2111,-0.1811,-0.2723,0.0163,0.2517,0.0492,-0.1930,-0.2450,0.2615,0.0915,-0.0649,0.1080,0.3003,0.3688,-0.1584,0.3652,0.2260,-0.0863,-0.1872,-0.1743,-0.4813,0.1808,0.1282,-0.2065,-0.0286,0.2280,0.0123,0.2511,-0.0955,-0.1583,-0.1703,0.0889,-0.0252,-0.0479,0.3497,-0.0482,0.0979,0.1436,0.0141,0.4254,-0.0692,-0.0734,-0.3023,Deceptive
-0.0735,-0.0217,0.0512,0.3676,0.2425,-0.0117,-0.1053,-0.1263,-0.4179,-0.1854,0.0463,0.5300,0.0448,-0.2612,-0.1779,0.4483,-0.0403,-0.2235,0.1523,0.3110,0.4205,-0.0628,0.5753,0.2739,0.0296,-0.2883,-0.1445,-0.5755,0.0537,0.2594,-0.3812,-0.0226,0.3049,-0.0432,0.5058,-0.2167,-0.2430,-0.2506,0.1889,0.0650,-0.1050,0.4096,-0.1847,0.2503,0.3593,0.2166,0.4669,-0.1654,-0.1714,-0.4018,Deceptive
-0.1994,-0.0337,0.0716,0.0998,0.1897,0.0023,0.0212,-0.1761,-0.2589,-0.2281,0.0242,0.3546,0.0591,-0.2203,-0.2690,0.3287,0.0588,-0.0716,0.1111,0.2891,0.3753,-0.1205,0.4474,0.2546,-0.0775,-0.1511,-0.1885,-0.5487,0.1407,0.1375,-0.2037,0.0089,0.2872,-0.0487,0.1866,-0.1246,-0.1181,-0.1924,0.1252,0.0554,-0.0859,0.3600,-0.1022,0.1352,0.1625,0.0350,0.4430,-0.1086,-0.0870,-0.3411,Deceptive
-0.1485,-0.0306,0.0112,0.1664,0.0518,-0.0066,0.0833,-0.2142,-0.1334,-0.2933,0.0233,0.2211,0.0559,-0.1652,-0.2529,0.2117,0.0728,-0.0345,0.1025,0.2960,0.3404,-0.1060,0.3245,0.2240,-0.0843,-0.1727,-0.1559,-0.4091,0.1736,0.1408,-0.2054,-0.0285,0.2258,-0.0308,0.2587,-0.0967,-0.0987,-0.1008,0.0692,-0.0674,-0.0309,0.3316,-0.0069,0.0904,0.0768,0.0083,0.3945,-0.0655,-0.0538,-0.2450,Deceptive
0.1007,0.0009,-0.2013,0.2067,-0.3363,0.0514,0.2629,-0.3361,0.2159,-0.4740,0.0052,-0.1740,0.0471,-0.0426,-0.2144,-0.1070,0.1391,0.0710,0.0015,0.3211,0.2272,-0.1751,-0.1841,0.1596,-0.2077,-0.2118,-0.1282,0.2338,0.3279,0.0907,-0.1065,-0.0418,-0.0796,0.1600,0.1476,0.0471,-0.1094,0.1774,-0.0843,-0.3669,0.2162,0.2512,0.3428,-0.0429,-0.0919,-0.0958,0.1729,0.1895,0.0912,0.0753,Deceptive
0.0926,-0.0087,-0.1950,0.1917,-0.3327,0.0444,0.2785,-0.3295,0.2124,-0.4711,0.0054,-0.1701,0.0410,-0.0458,-0.2106,-0.1005,0.1542,0.0775,0.0059,0.3124,0.2319,-0.1758,-0.1728,0.1639,-0.2059,-0.2078,-0.1346,0.2190,0.3269,0.0957,-0.1037,-0.0386,-0.0742,0.1547,0.1475,0.0517,-0.1110,0.1707,-0.0849,-0.3461,0.2167,0.2643,0.3442,-0.0418,-0.0894,-0.0949,0.1867,0.1835,0.1001,0.0606,Deceptive
0.0460,-0.0061,-0.2049,0.1713,-0.3266,0.0356,0.2581,-0.3355,0.2308,-0.4762,0.0100,-0.1849,0.0404,-0.0287,-0.2205,-0.1095,0.1657,0.1110,0.0150,0.3125,0.2407,-0.1651,-0.1726,0.1843,-0.2020,-0.2042,-0.1337,0.2365,0.3288,0.0909,-0.0935,-0.0405,-0.0803,0.1479,0.1506,0.0465,-0.1023,0.1819,-0.0947,-0.3382,0.2297,0.2598,0.3491,-0.0516,-0.0759,-0.0895,0.1953,0.1784,0.1066,0.0650,Deceptive
