@relation hmpdm_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute HU_21 numeric
@attribute HU_22 numeric
@attribute HU_23 numeric
@attribute HU_24 numeric
@attribute HU_25 numeric
@attribute HU_26 numeric
@attribute HU_27 numeric
@attribute HU_28 numeric
@attribute HU_29 numeric
@attribute HU_30 numeric
@attribute HU_31 numeric
@attribute HU_32 numeric
@attribute HU_33 numeric
@attribute HU_34 numeric
@attribute HU_35 numeric
@attribute HU_36 numeric
@attribute HU_37 numeric
@attribute HU_38 numeric
@attribute HU_39 numeric
@attribute HU_40 numeric
@attribute HU_41 numeric
@attribute HU_42 numeric
@attribute HU_43 numeric
@attribute HU_44 numeric
@attribute HU_45 numeric
@attribute HU_46 numeric
@attribute HU_47 numeric
@attribute HU_48 numeric
@attribute HU_49 numeric
@attribute HU_50 numeric
@attribute Class {Deceptive,Truthful}

@data
0.1882,0.0441,-0.3181,0.3136,-0.0502,0.1536,0.3547,-0.4147,0.5030,0.2467,-0.4785,0.3034,0.2740,0.2065,0.3894,-0.2172,0.4560,0.2463,-0.3144,0.1971,-0.2773,0.0912,-0.3304,0.4488,0.2159,-0.1730,0.1856,0.2787,0.3615,0.3227,0.3281,-0.0698,-0.3829,-0.3610,-0.0764,0.3693,0.3952,0.4153,-0.0817,-0.3698,-0.4222,-0.4075,0.3357,-0.4410,0.5016,-0.2567,0.1750,0.1521,0.3263,-0.2624,Deceptive
0.2342,0.2187,0.0316,0.3201,0.1995,-0.2225,0.5627,-0.2817,0.3460,0.3721,-0.4964,0.2655,0.0993,-0.1267,0.2261,-0.2861,0.3966,0.1051,-0.3378,0.3000,-0.0003,0.0067,-0.4624,0.4211,0.5346,0.0481,0.2010,0.2389,0.5262,0.2634,0.4179,-0.0419,-0.3075,-0.1927,0.0215,0.5424,0.4478,0.3855,-0.3022,-0.3835,-0.5581,-0.3888,0.4471,-0.4289,0.4624,-0.1447,-0.0427,0.0491,0.2562,-0.1807,Deceptive
0.1801,0.2812,-0.1834,0.5636,-0.1881,-0.1361,0.6967,-0.5366,0.5687,0.3313,-0.5203,0.6748,0.2395,0.3750,0.6211,-0.4564,0.6028,0.0704,-0.5363,0.2866,-0.1484,0.3046,-0.5536,0.6730,0.6331,-0.2175,0.0927,0.2511,0.6384,0.4748,0.6775,0.1756,-0.3486,-0.5078,0.0992,0.6682,0.3326,0.4534,-0.2684,-0.5579,-0.7073,-0.6021,0.5155,-0.6523,0.6496,-0.1645,-0.0048,0.0183,0.2709,-0.3752,Deceptive
-0.0544,-0.3898,-0.4766,0.1939,0.1614,0.3351,0.3287,-0.3558,0.1863,0.1609,-0.5927,0.2364,0.3883,0.1610,0.4021,-0.2575,0.1339,-0.0413,-0.2773,0.2436,-0.4004,0.2299,-0.3149,0.3625,0.2628,-0.0918,-0.1879,0.4341,0.0891,0.2909,0.4387,-0.0948,-0.4169,-0.2668,-0.1636,0.2671,0.4902,0.4123,0.1960,-0.3954,-0.0879,-0.5234,0.1214,0.0928,0.3881,-0.3023,-0.0309,0.1538,-0.0153,-0.2052,Deceptive
0.0880,0.2772,-0.1419,0.2771,-0.4513,-0.2150,0.6914,-0.4747,0.2359,0.3348,-0.6214,0.6579,0.1483,0.3996,0.6563,-0.4968,0.6027,-0.1217,-0.4342,-0.0943,-0.3904,0.2943,-0.2893,0.6213,0.6186,-0.3552,-0.2490,-0.0212,0.5777,0.2441,0.6562,0.2870,-0.4754,-0.5143,0.0199,0.6166,0.3591,0.4758,-0.1624,-0.6770,-0.6662,-0.6169,0.5393,-0.6486,0.6279,-0.3650,-0.1282,0.1684,0.2999,-0.0670,Deceptive
0.1911,-0.2858,-0.4717,-0.0863,0.0513,0.2193,-0.1677,-0.3247,0.3745,-0.1451,-0.2279,-0.1289,0.3757,0.2118,0.0838,0.1906,0.1956,0.4634,-0.0070,0.0455,-0.3618,-0.0971,0.0272,-0.0456,-0.1888,-0.0493,0.0489,0.2468,-0.0894,0.3656,-0.2650,-0.3166,-0.0243,-0.0411,-0.3816,-0.1048,0.2704,0.1734,0.1852,-0.0690,0.0719,-0.1466,-0.0561,-0.1023,0.1138,-0.1821,0.1879,0.3752,0.1466,-0.0312,Deceptive
0.2953,0.0129,0.1753,0.0078,-0.0956,-0.2003,-0.1410,0.1567,0.1483,0.1801,-0.1925,-0.1732,0.0633,-0.2106,-0.0986,0.1177,0.0151,0.3672,-0.0904,0.3155,0.2372,-0.2867,0.0831,-0.1576,-0.0795,0.1696,0.2645,-0.0478,-0.0750,0.2019,-0.1175,-0.0020,0.0128,0.0315,-0.0943,-0.1526,0.2052,0.2442,0.0787,0.0258,-0.1387,0.0044,-0.0327,-0.0648,0.0609,0.0767,0.3658,0.2186,0.2611,-0.0780,Deceptive
0.1879,-0.1178,0.0309,0.4593,-0.0553,-0.0868,0.5121,-0.3840,0.4314,0.2744,-0.3544,0.5411,0.2052,0.2932,0.4926,-0.4549,0.5146,-0.1050,-0.4886,0.1141,-0.2568,0.2988,-0.3597,0.5660,0.5503,-0.3585,-0.2130,0.0832,0.5138,0.1283,0.5264,0.1323,-0.3901,-0.2015,0.0697,0.5302,0.3623,0.4045,-0.2001,-0.5802,-0.6542,-0.4823,0.3555,-0.5672,0.5068,-0.1525,0.0125,0.0728,0.2783,-0.3114,Deceptive
0.2346,0.1767,0.0699,-0.0310,0.0234,0.0688,-0.1020,0.1133,0.2331,0.0165,-0.0517,0.0568,-0.0426,0.1143,-0.1572,-0.1032,0.0591,0.0078,-0.0061,-0.1072,0.0859,-0.0373,0.1269,0.0844,0.0740,0.0841,0.2596,0.0661,-0.1360,-0.0500,-0.0862,-0.0814,0.0222,0.0536,-0.0772,-0.1917,0.1534,-0.0266,-0.2125,-0.1525,-0.1771,-0.0265,0.0525,0.0252,0.0917,0.0766,0.0386,-0.1569,0.0428,-0.1046,Deceptive
0.2021,0.2780,0.0068,-0.0659,-0.0758,-0.0276,0.4537,-0.1855,-0.0969,0.3076,-0.3495,0.0770,0.1911,0.2538,0.1615,-0.2879,0.0871,0.0118,-0.2968,0.0646,-0.0633,0.0740,-0.2681,0.1588,0.3277,0.0317,0.0699,0.2593,0.2618,0.1476,0.1441,0.1827,-0.2878,-0.1152,-0.0346,0.3413,0.1590,0.2874,-0.2514,-0.2123,-0.2617,-0.0948,0.3392,-0.3882,0.2877,-0.0625,-0.0578,0.1534,0.1975,-0.2139,Deceptive
