@relation mcep_lstm

@attribute HU_1 numeric
@attribute HU_2 numeric
@attribute HU_3 numeric
@attribute HU_4 numeric
@attribute HU_5 numeric
@attribute HU_6 numeric
@attribute HU_7 numeric
@attribute HU_8 numeric
@attribute HU_9 numeric
@attribute HU_10 numeric
@attribute HU_11 numeric
@attribute HU_12 numeric
@attribute HU_13 numeric
@attribute HU_14 numeric
@attribute HU_15 numeric
@attribute HU_16 numeric
@attribute HU_17 numeric
@attribute HU_18 numeric
@attribute HU_19 numeric
@attribute HU_20 numeric
@attribute HU_21 numeric
@attribute HU_22 numeric
@attribute HU_23 numeric
@attribute HU_24 numeric
@attribute HU_25 numeric
@attribute HU_26 numeric
@attribute HU_27 numeric
@attribute HU_28 numeric
@attribute HU_29 numeric
@attribute HU_30 numeric
@attribute HU_31 numeric
@attribute HU_32 numeric
@attribute HU_33 numeric
@attribute HU_34 numeric
@attribute HU_35 numeric
@attribute HU_36 numeric
@attribute HU_37 numeric
@attribute HU_38 numeric
@attribute HU_39 numeric
@attribute HU_40 numeric
@attribute HU_41 numeric
@attribute HU_42 numeric
@attribute HU_43 numeric
@attribute HU_44 numeric
@attribute HU_45 numeric
@attribute HU_46 numeric
@attribute HU_47 numeric
@attribute HU_48 numeric
@attribute HU_49 numeric
@attribute HU_50 numeric
@attribute Class {Deceptive,Truthful}

@data
-0.1004,0.2329,-0.5055,-0.1905,-0.4376,0.6907,0.5135,0.6222,-0.3521,-0.6047,-0.1010,0.0063,0.1858,0.6372,0.3444,0.3412,0.2743,0.1901,0.1017,-0.1150,-0.8406,0.1770,0.5696,-0.5227,0.7850,0.6792,0.4256,-0.7678,-0.3072,0.0793,-0.4924,-0.6984,-0.2327,-0.4006,0.3473,-0.1309,0.4831,0.2185,-0.1407,-0.4990,0.1453,-0.1294,-0.5607,-0.5733,0.6358,-0.3691,-0.4694,0.4141,0.5803,-0.0271,Deceptive
-0.0828,0.3611,-0.4878,-0.0918,-0.2285,0.7336,0.5622,0.6613,-0.3836,-0.6206,-0.1058,0.2489,0.1981,0.3849,0.5733,-0.4939,0.3075,0.2288,0.2054,-0.2649,-0.4954,-0.1528,0.4609,-0.4261,0.6351,0.6804,0.3854,-0.7555,0.1555,0.1795,-0.5078,-0.6511,-0.2199,-0.2888,0.2360,-0.1450,0.5065,-0.1828,-0.1831,-0.7175,0.0127,-0.4482,-0.5432,-0.5552,0.6460,-0.3594,-0.0550,0.4655,0.3450,-0.4050,Deceptive
-0.1029,0.3493,-0.4717,-0.4134,-0.3156,0.7525,0.5302,0.7076,-0.4654,-0.7425,-0.0562,0.3259,0.1380,0.4690,0.5608,-0.8011,0.2839,0.1826,0.1585,-0.2652,-0.8084,0.1137,0.5435,-0.4974,0.7304,0.7075,0.3812,-0.7549,0.0519,0.1055,-0.4504,-0.6663,-0.1856,-0.2833,0.2535,-0.0906,0.5698,0.0151,-0.1675,-0.7169,0.0798,-0.5291,-0.5633,-0.5325,0.6537,-0.3254,-0.2973,0.4560,0.6233,-0.3474,Deceptive
-0.0781,0.3898,-0.4679,-0.0301,-0.2049,0.6577,0.5414,0.6063,-0.4974,-0.5718,-0.1212,0.2464,0.0946,0.4575,0.6214,-0.6369,0.3095,0.1791,0.2196,-0.2113,-0.5581,-0.2295,0.4386,-0.4339,0.5498,0.6981,0.3627,-0.7584,-0.3907,0.0830,-0.4545,-0.6295,-0.2138,-0.2578,0.2427,-0.1219,0.4861,-0.1655,-0.0315,-0.2094,-0.0348,-0.4298,-0.5714,-0.5441,0.6553,-0.2840,0.0456,0.4908,0.3096,-0.5036,Deceptive
-0.0808,0.4355,-0.4503,0.5880,0.0799,0.7113,0.5582,0.5570,0.1020,0.0861,-0.1789,0.1449,-0.0115,0.3987,0.2837,0.8018,0.3989,0.1940,0.3259,-0.1139,-0.8299,0.3117,0.4409,-0.4106,0.3728,0.6921,0.3307,-0.7898,-0.0460,0.3002,-0.4629,-0.7281,-0.2433,-0.2939,0.2435,-0.1506,0.4418,-0.4525,0.0727,-0.0653,-0.2025,0.2878,-0.4967,-0.6069,0.7522,-0.3170,0.7242,0.5151,0.0940,-0.4981,Deceptive
-0.0645,0.3104,-0.4339,0.4838,-0.1266,0.6550,0.5448,0.5746,0.3315,-0.3584,-0.0860,0.2575,0.0485,0.3072,0.4797,0.3949,0.3600,0.1908,0.2706,-0.2800,-0.4376,0.1377,0.4602,-0.4096,0.4614,0.7237,0.3188,-0.7983,-0.3230,0.3551,-0.4074,-0.7236,-0.2035,-0.2404,0.2351,-0.1353,0.3965,-0.3443,0.0900,-0.5125,-0.0791,-0.1396,-0.5416,-0.6096,0.7116,-0.2578,0.2691,0.4907,0.1585,-0.4681,Deceptive
-0.0782,0.4628,-0.4889,-0.1387,-0.2328,0.7214,0.5169,0.6409,-0.3812,-0.6280,-0.1163,0.2356,0.1123,0.5388,0.6198,-0.4275,0.3427,0.1868,0.1926,-0.1593,-0.8119,-0.1043,0.4895,-0.4283,0.6104,0.7317,0.3510,-0.7912,-0.3764,0.1062,-0.4436,-0.6775,-0.1917,-0.2756,0.2586,-0.1463,0.5400,-0.3489,0.0062,-0.2709,0.1123,-0.4956,-0.5480,-0.5834,0.7133,-0.2936,0.1651,0.4961,0.3095,-0.4450,Deceptive
-0.0616,0.5291,-0.4624,-0.0551,-0.2711,0.7282,0.5239,0.6487,-0.7169,-0.8199,-0.1290,0.3554,0.0351,0.5306,0.6794,-0.8482,0.3318,0.1708,0.1796,-0.1858,-0.8461,-0.4162,0.4558,-0.4770,0.6246,0.7548,0.3623,-0.7719,-0.1808,0.0933,-0.4573,-0.6396,-0.1912,-0.2886,0.2724,-0.1572,0.5202,-0.5859,-0.0327,-0.5308,0.0160,-0.5426,-0.5693,-0.5856,0.7100,-0.3200,-0.0329,0.4950,0.2787,-0.6289,Deceptive
-0.0619,0.4341,-0.4501,-0.1117,-0.2460,0.7271,0.5554,0.6694,-0.6023,-0.6344,-0.1034,0.3623,0.1219,0.3794,0.6501,-0.7427,0.3296,0.1847,0.2124,-0.2938,-0.6428,-0.2449,0.4655,-0.4374,0.6963,0.6988,0.3481,-0.7430,-0.1568,0.1389,-0.4689,-0.6275,-0.1936,-0.2932,0.2620,-0.1361,0.4750,0.0244,-0.0932,-0.5744,-0.0422,-0.5279,-0.5729,-0.5403,0.6580,-0.3325,0.0564,0.5066,0.3419,-0.6112,Deceptive
-0.1160,0.3197,-0.4588,-0.2400,-0.3021,0.6974,0.5171,0.6445,-0.2186,-0.5459,-0.0865,0.2417,0.1138,0.5041,0.4518,0.0623,0.2939,0.1882,0.1897,-0.1985,-0.7640,0.3099,0.5325,-0.4436,0.7438,0.6931,0.3664,-0.7856,-0.2210,0.1458,-0.4603,-0.6755,-0.2005,-0.2951,0.2704,-0.0768,0.5275,0.0736,-0.0531,-0.5081,0.1131,-0.2747,-0.5672,-0.5320,0.6738,-0.2901,-0.1279,0.4684,0.5708,-0.3799,Deceptive
